Trial,Subject,Color,Stimulus,Area of Interest,AOI Group,AOI Scope,AOI Order,AOI Size [px],AOI Coverage [%],Start Time [ms],End Time [ms],Entry Time [ms],Sequence,Net Dwell Time [ms],Dwell Time [ms],Glance Duration [ms],Diversion Duration [ms],First Fixation Duration [ms],Glances Count,Revisits,Fixation Count,Appearance Count,Visible Time [ms],Visible Time [%],Net Dwell Time [%],Dwell Time [%],Fixation Time [ms],Fixation Time [%],Time to First Mouse Click [ms]
Trial007,CLH,DeepPink,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,2147,1007.2,9064,907.2,1139.9,1231.7,1231.7,1139.9,1,0,1,1,2147.1,100,42.3,53.1,1139.9,53.1,-
Trial048,CLH,DeepPink,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,2083,-,-,0,0,0,0,0,0,-,0,1,2083.4,100,0,0,0,0,-
Trial007,LBB,DeepSkyBlue,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1814,1082.5,9188,880,732,772,772,732,1,0,1,1,1814.5,100,48.5,40.3,732,40.3,-
Trial047,LBB,DeepSkyBlue,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1394,-,-,0,0,0,0,0,0,-,0,1,1394.7,100,0,0,0,0,-
Trial007,fm,DimGray,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,6013,2433.9,9751,3531.6,3435.7,3575.6,3619.6,1267.9,2,1,5,1,6013.5,100,58.7,57.1,3287.6,54.7,-
Trial047,fm,DimGray,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,2044,-,-,0,0,0,0,0,0,-,0,1,2044.7,100,0,0,0,0,-
Trial007,HXH,DodgerBlue,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,3379,836.2,8641,416,344,392,436,344,1,0,1,1,3380,100,12.3,10.2,344,10.2,-
Trial047,HXH,DodgerBlue,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,3098,695,8178,923.8,431.9,479.9,527.9,152,1,0,2,1,3098.6,100,29.8,13.9,407.8,13.2,-
Trial007,MEG,Firebrick,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,2731,2423,9750,472.1,208,288,327.9,208,1,0,1,1,2731,100,17.3,7.6,208,7.6,-
Trial047,MEG,Firebrick,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,2095,-,-,0,0,0,0,0,0,-,0,1,2095.7,100,0,0,0,0,-
